id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
5809,0,0,1,0,0,0,0,2,0,0,0,0,0,3
9256-B15,1,0,2,0,1,0,0,2,0,1,0,2,2,5
9264,0,0,0,0,0,0,0,5,0,0,0,0,0,5
9239-B03,0,0,0,0,0,0,0,0,0,0,0,2,0,2
8059,0,0,1,0,0,0,0,2,0,0,0,0,0,3
0979,0,0,2,0,0,0,0,2,0,0,0,0,0,4
0981-C49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0983,0,0,0,0,0,0,0,3,0,0,0,0,0,3
0981-946,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8874,0,0,1,0,0,0,0,1,0,0,0,0,0,2
9239-B02,0,0,0,0,0,0,0,1,3,0,0,3,0,5
9256-B14,0,0,0,0,0,0,0,2,3,1,1,0,0,5
9239-B01,0,0,0,0,0,0,0,1,2,0,0,3,0,4
5723-B80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5723-B79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8060,0,0,0,0,2,0,0,2,0,0,0,0,0,4
9062,0,0,2,0,1,0,0,2,1,0,1,0,3,3
8518-777,0,0,1,0,2,0,0,1,8,2,0,1,1,8
8518-775,0,0,0,0,0,0,0,2,0,0,0,0,0,2
9211,0,0,0,1,0,0,0,2,0,0,0,0,0,2
9213,0,0,0,1,4,0,0,1,2,1,0,0,0,6
8005,0,0,0,0,1,0,0,5,1,0,0,1,3,7
9212,0,0,1,0,0,0,0,1,2,0,0,0,0,2
5729,0,0,1,0,0,0,0,1,2,0,0,0,0,2
8020,0,0,2,0,1,0,0,3,2,1,2,0,2,5
9242-B17,0,0,0,0,0,0,0,2,2,0,0,1,0,4
9232,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5903,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9242-B18,0,0,0,0,0,1,0,1,0,0,0,0,0,2
9242-B16,0,0,0,0,0,0,0,1,1,0,0,1,0,3
9230-C15,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9230-C14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
